loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term,fico_score,dti_computed,loan_to_income,emp_length_years,emp_length_bin,has_delinquency
3600,3600,3600, 36 months,13.99,123.03,C,C4,leadman,10+ years,MORTGAGE,55000.0,Not Verified,2015-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68407277,,debt_consolidation,Debt consolidation,190xx,PA,5.91,0,2003-08-01,675,679,1,30.0,,7,0,2765,29.7,13,w,0.0,0.0,4421.723916800001,4421.72,3600.0,821.72,0.0,0.0,0.0,2019-01-01,122.67,,2019-03-01,564,560,0,30.0,1,Individual,,,,0,722,144904,2.0,2.0,0.0,1.0,21.0,4981.0,36.0,3.0,3.0,722.0,34.0,9300,3.0,1.0,4.0,4,20701,1506.0,37.2,0,0,148.0,128,3,3,1,4.0,69.0,4.0,69.0,2,2,4,2,5,3,4,9,4,7,0.0,0,0,3,76.9,0.0,0,0,178050,7746,2400,13734,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,677.0,5.91,0.06545454545454546,10.0,6-10,0
24700,24700,24700, 36 months,11.99,820.28,C,C1,Engineer,10+ years,MORTGAGE,65000.0,Not Verified,2015-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68355089,,small_business,Business,577xx,SD,16.06,1,1999-12-01,715,719,4,6.0,,22,0,21470,19.2,38,w,0.0,0.0,25679.66,25679.66,24700.0,979.66,0.0,0.0,0.0,2016-06-01,926.35,,2019-03-01,699,695,0,,1,Individual,,,,0,0,204396,1.0,1.0,0.0,1.0,19.0,18005.0,73.0,2.0,3.0,6472.0,29.0,111800,0.0,0.0,6.0,4,9733,57830.0,27.1,0,0,113.0,192,2,2,4,2.0,,0.0,6.0,0,5,5,13,17,6,20,27,5,22,0.0,0,0,2,97.4,7.7,0,0,314017,39475,79300,24667,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,717.0,16.06,0.38,10.0,6-10,1
20000,20000,20000, 60 months,10.78,432.66,B,B4,truck driver,10+ years,MORTGAGE,63000.0,Not Verified,2015-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68341763,,home_improvement,,605xx,IL,10.78,0,2000-08-01,695,699,0,,,6,0,7869,56.2,18,w,0.0,0.0,22705.924293878397,22705.92,20000.0,2705.92,0.0,0.0,0.0,2017-06-01,15813.3,,2019-03-01,704,700,0,,1,Joint App,71000.0,13.85,Not Verified,0,0,189699,0.0,1.0,0.0,4.0,19.0,10827.0,73.0,0.0,2.0,2081.0,65.0,14000,2.0,5.0,1.0,6,31617,2737.0,55.9,0,0,125.0,184,14,14,5,101.0,,10.0,,0,2,3,2,4,6,4,7,3,6,0.0,0,0,0,100.0,50.0,0,0,218418,18696,6200,14877,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,697.0,10.78,0.31746031746031744,10.0,6-10,0
35000,35000,35000, 60 months,14.85,829.9,C,C5,Information Systems Officer,10+ years,MORTGAGE,110000.0,Source Verified,2015-12-01,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=66310712,,debt_consolidation,Debt consolidation,076xx,NJ,17.06,0,2008-09-01,785,789,0,,,13,0,7802,11.6,17,w,15897.65,15897.65,31464.01,31464.01,19102.35,12361.66,0.0,0.0,0.0,2019-02-01,829.9,2019-04-01,2019-03-01,679,675,0,,1,Individual,,,,0,0,301500,1.0,1.0,0.0,1.0,23.0,12609.0,70.0,1.0,1.0,6987.0,45.0,67300,0.0,1.0,0.0,2,23192,54962.0,12.1,0,0,36.0,87,2,2,1,2.0,,,,0,4,5,8,10,2,10,13,5,13,0.0,0,0,1,100.0,0.0,0,0,381215,52226,62500,18000,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,787.0,17.06,0.3181818181818182,10.0,6-10,0
10400,10400,10400, 60 months,22.45,289.91,F,F1,Contract Specialist,3 years,MORTGAGE,104433.0,Source Verified,2015-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68476807,,major_purchase,Major purchase,174xx,PA,25.37,1,1998-06-01,695,699,3,12.0,,12,0,21929,64.5,35,w,0.0,0.0,11740.5,11740.5,10400.0,1340.5,0.0,0.0,0.0,2016-07-01,10128.96,,2018-03-01,704,700,0,,1,Individual,,,,0,0,331730,1.0,3.0,0.0,3.0,14.0,73839.0,84.0,4.0,7.0,9702.0,78.0,34000,2.0,1.0,3.0,10,27644,4567.0,77.5,0,0,128.0,210,4,4,6,4.0,12.0,1.0,12.0,0,4,6,5,9,10,7,19,6,12,0.0,0,0,4,96.6,60.0,0,0,439570,95768,20300,88097,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,697.0,25.37,0.09958538010015991,3.0,3-5,1
11950,11950,11950, 36 months,13.44,405.18,C,C3,Veterinary Tecnician,4 years,RENT,34000.0,Source Verified,2015-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68426831,,debt_consolidation,Debt consolidation,300xx,GA,10.2,0,1987-10-01,690,694,0,,,5,0,8822,68.4,6,w,0.0,0.0,13708.9485297572,13708.95,11950.0,1758.95,0.0,0.0,0.0,2017-05-01,7653.56,,2017-05-01,759,755,0,,1,Individual,,,,0,0,12798,0.0,1.0,0.0,0.0,338.0,3976.0,99.0,0.0,0.0,4522.0,76.0,12900,0.0,0.0,0.0,0,2560,844.0,91.0,0,0,338.0,54,32,32,0,36.0,,,,0,2,3,2,2,2,4,4,3,5,0.0,0,0,0,100.0,100.0,0,0,16900,12798,9400,4000,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,692.0,10.2,0.3514705882352941,4.0,3-5,0
20000,20000,20000, 36 months,9.17,637.58,B,B2,Vice President of Recruiting Operations,10+ years,MORTGAGE,180000.0,Not Verified,2015-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68476668,,debt_consolidation,Debt consolidation,550xx,MN,14.67,0,1990-06-01,680,684,0,49.0,,12,0,87329,84.5,27,f,0.0,0.0,21393.800000011,21393.8,20000.0,1393.8,0.0,0.0,0.0,2016-11-01,15681.05,,2019-03-01,654,650,0,,1,Individual,,,,0,0,360358,0.0,2.0,0.0,2.0,18.0,29433.0,63.0,2.0,3.0,13048.0,74.0,94200,1.0,0.0,1.0,6,30030,0.0,102.9,0,0,142.0,306,10,10,4,12.0,,10.0,,0,4,6,4,5,7,9,16,6,12,0.0,0,0,2,96.3,100.0,0,0,388852,116762,31500,46452,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,682.0,14.67,0.1111111111111111,10.0,6-10,0
20000,20000,20000, 36 months,8.49,631.26,B,B1,road driver,10+ years,MORTGAGE,85000.0,Not Verified,2015-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=67275481,,major_purchase,Major purchase,293xx,SC,17.61,1,1999-02-01,705,709,0,3.0,,8,0,826,5.7,15,w,0.0,0.0,21538.508976797,21538.51,20000.0,1538.51,0.0,0.0,0.0,2017-01-01,14618.23,,2019-03-01,674,670,0,3.0,1,Individual,,,,0,0,141601,0.0,3.0,0.0,4.0,13.0,27111.0,75.0,0.0,0.0,640.0,55.0,14500,1.0,0.0,2.0,4,17700,13674.0,5.7,0,0,149.0,55,32,13,3,32.0,,8.0,,1,2,2,3,3,9,3,3,2,8,0.0,0,1,0,93.3,0.0,0,0,193390,27937,14500,36144,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,707.0,17.61,0.23529411764705882,10.0,6-10,1
10000,10000,10000, 36 months,6.49,306.45,A,A2,SERVICE MANAGER,6 years,RENT,85000.0,Not Verified,2015-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68466926,,credit_card,Credit card refinancing,160xx,PA,13.07,0,2002-04-01,685,689,1,,106.0,14,1,10464,34.5,23,w,0.0,0.0,10998.9715749644,10998.97,10000.0,998.97,0.0,0.0,0.0,2018-08-01,1814.48,,2019-03-01,719,715,0,,1,Individual,,,,0,8341,27957,2.0,1.0,0.0,0.0,35.0,17493.0,57.0,2.0,7.0,2524.0,46.0,30300,2.0,0.0,1.0,7,1997,8182.0,50.1,0,0,164.0,129,1,1,1,4.0,,1.0,,0,6,9,7,10,3,13,19,9,14,0.0,0,0,2,95.7,28.6,1,0,61099,27957,16400,30799,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,687.0,13.07,0.11764705882352941,6.0,6-10,0
8000,8000,8000, 36 months,11.48,263.74,B,B5,Vendor liaison,10+ years,MORTGAGE,42000.0,Not Verified,2015-12-01,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68616873,,credit_card,Credit card refinancing,029xx,RI,34.8,0,1994-11-01,700,704,0,75.0,,8,0,7034,39.1,18,w,0.0,0.0,8939.5805031401,8939.58,8000.0,939.58,0.0,0.0,0.0,2017-04-01,4996.24,,2018-11-01,679,675,0,75.0,1,Individual,,,,0,0,199696,0.0,2.0,2.0,3.0,10.0,106748.0,72.0,0.0,2.0,4725.0,49.0,18000,0.0,0.0,1.0,5,28528,9966.0,41.4,0,0,155.0,253,15,10,1,50.0,,10.0,,1,3,3,3,6,5,5,11,3,8,0.0,0,0,2,94.4,33.3,0,0,256513,113782,17000,135513,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,702.0,34.8,0.19047619047619047,10.0,6-10,0
